 17.64  77.24  68.23 
 24.43  77.12  68.1 
 17.32  70.64  68.23 
 25.43  69.57  68.06 
 21.22  73.03  68.15 
 37.96  70.32  66 
 46.45  70.07  65.53 
 37.83  60.82  65.97 
 46.45  60.38  65.51 
 42.05  65.16  65.76 
 15.55  53.39  69.02 
 25.94  52.7  67.61 
 37.14  52.32  66.16 
 50.48  52.39  64.75 
 14.93  84.86  68.98 
 32.99  84.04  66.91 
 43.69  83.73  65.48 
 51.99  83.79  64.32 
 35.57  77.62  66.57 
 30.6  70.01  67.21 
 27.64  62.9  67.34 
 53.88  61.76  64.64 
 53.94  69.69  64.54 
 16.06  62.58  68.72 
 11.84  72.15  68.92 

