Run   obj.function   lambda        
129   -9.3024819999999997E-01  3.000000E+00  
130   -9.3024819999999997E-01  3.000000E+00  
131   -9.3024819999999997E-01  3.000000E+00  
132   -9.3024819999999997E-01  3.000000E+00  
133   -9.3024819999999997E-01  3.000000E+00  
134   -9.3024819999999997E-01  3.000000E+00  
135   -9.3024819999999997E-01  3.000000E+00  
136   -9.2977969999999999E-01  2.000000E+00  
137   -9.3024819999999997E-01  3.000000E+00  
138   -9.3009310000000001E-01  2.618034E+00  
139   -9.3019240000000003E-01  2.854102E+00  
140   -9.3022740000000004E-01  2.944272E+00  
141   -9.3024030000000002E-01  2.978714E+00  
142   -9.3024519999999999E-01  2.991869E+00  
143   -9.3024700000000005E-01  2.996894E+00  
144   -9.3024770000000001E-01  2.998814E+00  
145   -9.3024799999999996E-01  2.999547E+00  
146   -9.3024810000000002E-01  2.999827E+00  
147   -9.3024819999999997E-01  2.999934E+00  
148   -9.3024819999999997E-01  3.000000E+00  
149   -9.3024819999999997E-01  3.000000E+00  
150   -9.3024819999999997E-01  3.000000E+00  
151   -9.3024819999999997E-01  3.000000E+00  
152   -9.3024819999999997E-01  3.000000E+00  
153   -9.3024819999999997E-01  3.000000E+00  
154   -9.3024819999999997E-01  3.000000E+00  
155   -9.3024819999999997E-01  3.000000E+00  
156   -9.3024819999999997E-01  3.000000E+00  
157   -9.3024819999999997E-01  3.000000E+00  
158   -9.3024819999999997E-01  3.000000E+00  
159   -9.3024819999999997E-01  3.000000E+00  
160   -9.3024819999999997E-01  3.000000E+00  
161   -9.3024819999999997E-01  3.000000E+00  
162   -9.3024819999999997E-01  3.000000E+00  
163   -9.3024819999999997E-01  3.000000E+00  
164   -9.3024819999999997E-01  3.000000E+00  
165   -9.3024819999999997E-01  3.000000E+00  
166   -9.3024819999999997E-01  3.000000E+00  
167   -9.3024819999999997E-01  3.000000E+00  
168   -9.3024819999999997E-01  3.000000E+00  
169   -9.3024819999999997E-01  3.000000E+00  
170   -9.3024819999999997E-01  3.000000E+00  
171   -9.3024819999999997E-01  3.000000E+00  
172   -9.3024819999999997E-01  3.000000E+00  
173   -9.3024819999999997E-01  3.000000E+00  
174   -9.3024819999999997E-01  3.000000E+00  
175   -9.3024819999999997E-01  3.000000E+00  
176   -9.3024819999999997E-01  3.000000E+00  
177   -9.3024819999999997E-01  3.000000E+00  
178   -9.3024819999999997E-01  3.000000E+00  
179   -9.3024819999999997E-01  3.000000E+00  
180   -9.3024819999999997E-01  3.000000E+00  
181   -9.3024819999999997E-01  3.000000E+00  
182   -9.3024819999999997E-01  3.000000E+00  
183   -9.3024819999999997E-01  3.000000E+00  
184   -9.3024819999999997E-01  3.000000E+00  
185   -9.3024819999999997E-01  3.000000E+00  
186   -9.3024819999999997E-01  3.000000E+00  
187   -9.3024819999999997E-01  3.000000E+00  
